ID,Arrival,Burst,Priority,Start Time,Finish Time,Turnaround Time,Waiting Time,Response Time
P97,0,13,5,0,13,13,0,0
P93,3,3,4,13,16,13,10,10
P60,4,4,6,16,20,16,12,12
P08,6,18,4,20,38,32,14,14
P06,7,3,4,38,41,34,31,31
P22,11,8,5,41,49,38,30,30
P86,15,13,6,49,62,47,34,34
P96,15,6,7,62,68,53,47,47
P46,16,13,7,68,81,65,52,52
P76,17,2,6,81,83,66,64,64
P77,18,17,4,83,100,82,65,65
P91,19,15,9,100,115,96,81,81
P19,20,18,5,115,133,113,95,95
P23,20,8,2,133,141,121,113,113
P63,21,16,2,141,157,136,120,120
P15,23,13,2,157,170,147,134,134
P92,25,2,9,170,172,147,145,145
P55,27,10,9,172,182,155,145,145
P87,27,8,4,182,190,163,155,155
P44,28,5,3,190,195,167,162,162
P51,28,10,7,195,205,177,167,167
P65,32,16,9,205,221,189,173,173
P89,35,14,3,221,235,200,186,186
P100,39,7,5,235,242,203,196,196
P52,40,15,1,242,257,217,202,202
P66,42,9,9,257,266,224,215,215
P94,42,14,8,266,280,238,224,224
P82,48,4,2,280,284,236,232,232
P88,48,18,8,284,302,254,236,236
P35,54,19,6,302,321,267,248,248
P36,54,16,7,321,337,283,267,267
P10,56,15,10,337,352,296,281,281
P42,56,5,9,352,357,301,296,296
P74,56,1,2,357,358,302,301,301
P03,57,5,2,358,363,306,301,301
P33,58,2,6,363,365,307,305,305
P07,59,17,10,365,382,323,306,306
P62,61,19,2,382,401,340,321,321
P71,63,8,2,401,409,346,338,338
P48,64,18,1,409,427,363,345,345
P17,67,2,8,427,429,362,360,360
P38,67,5,4,429,434,367,362,362
P40,67,19,7,434,453,386,367,367
P11,71,1,3,453,454,383,382,382
P13,71,5,4,454,459,388,383,383
P78,71,16,4,459,475,404,388,388
P90,71,15,4,475,490,419,404,404
P61,78,8,1,490,498,420,412,412
P72,86,1,10,498,499,413,412,412
P16,91,12,10,499,511,420,408,408
P26,94,12,4,511,523,429,417,417
P57,95,6,9,523,529,434,428,428
P24,97,9,8,529,538,441,432,432
P34,102,9,2,538,547,445,436,436
P69,102,12,8,547,559,457,445,445
P84,108,14,8,559,573,465,451,451
P99,108,18,8,573,591,483,465,465
P30,118,13,5,591,604,486,473,473
P95,123,7,7,604,611,488,481,481
P43,126,3,1,611,614,488,485,485
P70,132,15,2,614,629,497,482,482
P18,137,4,7,629,633,496,492,492
P68,138,7,5,633,640,502,495,495
P79,138,5,10,640,645,507,502,502
P73,141,8,10,645,653,512,504,504
P21,147,7,2,653,660,513,506,506
P80,147,16,4,660,676,529,513,513
P41,149,13,6,676,689,540,527,527
P05,151,14,1,689,703,552,538,538
P47,152,15,9,703,718,566,551,551
P59,153,11,8,718,729,576,565,565
P28,155,6,9,729,735,580,574,574
P56,155,7,3,735,742,587,580,580
P67,155,14,4,742,756,601,587,587
P20,160,20,6,756,776,616,596,596
P25,162,12,3,776,788,626,614,614
P01,163,4,1,788,792,629,625,625
P31,163,18,4,792,810,647,629,629
P37,164,15,3,810,825,661,646,646
P83,168,14,6,825,839,671,657,657
P27,171,9,2,839,848,677,668,668
P04,173,18,2,848,866,693,675,675
P45,174,14,10,866,880,706,692,692
P49,174,4,9,880,884,710,706,706
P32,175,11,1,884,895,720,709,709
P12,178,14,6,895,909,731,717,717
P75,181,2,4,909,911,730,728,728
P09,183,18,7,911,929,746,728,728
P53,184,9,9,929,938,754,745,745
P29,186,8,3,938,946,760,752,752
P85,186,2,2,946,948,762,760,760
P02,189,9,4,948,957,768,759,759
P39,190,18,9,957,975,785,767,767
P50,192,9,6,975,984,792,783,783
P64,194,18,3,984,1002,808,790,790
P14,195,11,2,1002,1013,818,807,807
P54,195,6,9,1013,1019,824,818,818
P58,199,17,1,1019,1036,837,820,820
P81,200,16,7,1036,1052,852,836,836
P98,200,15,5,1052,1067,867,852,852
