ID,Arrival,Burst,Priority,Start Time,Finish Time,Turnaround Time,Waiting Time,Response Time
P93,3,3,4,4,13,10,7,1
P60,4,4,6,6,17,13,9,2
P06,7,3,4,13,28,21,18,6
P76,17,2,6,30,32,15,13,13
P92,25,2,9,50,52,27,25,25
P74,56,1,2,110,111,55,54,54
P33,58,2,6,115,117,59,57,57
P96,15,6,7,25,123,108,102,10
P17,67,2,8,135,137,70,68,68
P11,71,1,3,145,146,75,74,74
P97,0,13,5,0,157,157,144,0
P72,86,1,10,167,168,82,81,81
P22,11,8,5,19,178,167,159,8
P82,48,4,2,92,182,134,130,44
P44,28,5,3,60,227,199,194,32
P23,20,8,2,40,309,289,281,20
P75,181,2,4,325,327,146,144,144
P85,186,2,2,335,337,151,149,149
P42,56,5,9,108,380,324,319,52
P03,57,5,2,113,383,326,321,56
P87,27,8,4,56,387,360,352,29
P43,126,3,1,224,394,268,265,98
P18,137,4,7,237,406,269,265,100
P38,67,5,4,137,411,344,339,70
P13,71,5,4,146,424,353,348,75
P100,39,7,5,76,451,412,405,37
P01,163,4,1,289,455,292,288,126
P49,174,4,9,313,477,303,299,139
P57,95,6,9,182,493,398,392,87
P55,27,10,9,54,539,512,502,27
P71,63,8,2,127,549,486,478,64
P51,28,10,7,62,555,527,517,34
P79,138,5,10,241,560,422,417,103
P28,155,6,9,273,588,433,427,118
P61,78,8,1,157,596,518,510,79
P66,42,9,9,82,609,567,558,40
P54,195,6,9,357,657,462,456,162
P86,15,13,6,23,670,655,642,8
P95,123,7,7,220,681,558,551,97
P46,16,13,7,28,688,672,659,12
P68,138,7,5,239,689,551,544,101
P73,141,8,10,245,691,550,542,104
P21,147,7,2,253,698,551,544,106
P56,155,7,3,275,715,560,553,120
P29,186,8,3,333,757,571,563,147
P24,97,9,8,186,760,663,654,89
P15,23,13,2,46,765,742,729,23
P08,6,18,4,10,769,763,745,4
P34,102,9,2,192,772,670,661,90
P89,35,14,3,70,824,789,775,35
P91,19,15,9,34,827,808,793,15
P94,42,14,8,84,843,801,787,42
P27,171,9,2,305,844,673,664,134
P63,21,16,2,42,850,829,813,21
P16,91,12,10,174,854,763,751,83
P26,94,12,4,178,858,764,752,84
P53,184,9,9,329,861,677,668,145
P02,189,9,4,341,864,675,666,152
P50,192,9,6,347,867,675,666,155
P69,102,12,8,194,873,771,759,92
P65,32,16,9,66,903,871,855,34
P77,18,17,4,32,904,886,869,14
P59,153,11,8,269,917,764,753,116
P25,162,12,3,287,923,761,749,125
P52,40,15,1,78,926,886,871,38
P19,20,18,5,38,930,910,892,18
P32,175,11,1,317,937,762,751,142
P14,195,11,2,355,948,753,742,160
P36,54,16,7,102,958,904,888,48
P84,108,14,8,202,960,852,838,94
P10,56,15,10,106,963,907,892,50
P30,118,13,5,214,964,846,833,96
P41,149,13,6,259,977,828,815,110
P78,71,16,4,148,979,908,892,77
P05,151,14,1,263,981,830,816,112
P90,71,15,4,150,984,913,898,79
P67,155,14,4,277,986,831,817,122
P83,168,14,6,301,994,826,812,133
P45,174,14,10,311,998,824,810,137
P12,178,14,6,321,1000,822,808,143
P88,48,18,8,94,1004,956,938,46
P07,59,17,10,119,1019,960,943,60
P48,64,18,1,129,1023,959,941,65
P70,132,15,2,231,1024,892,877,99
P80,147,16,4,255,1028,881,865,108
P47,152,15,9,265,1029,877,862,113
P37,164,15,3,295,1034,870,855,131
P35,54,19,6,100,1043,989,970,46
P81,200,16,7,365,1047,847,831,165
P98,200,15,5,367,1048,848,833,167
P99,108,18,8,204,1050,942,924,96
P62,61,19,2,123,1051,990,971,62
P40,67,19,7,139,1052,985,966,72
P31,163,18,4,291,1056,893,875,128
P04,173,18,2,309,1058,885,867,136
P09,183,18,7,327,1060,877,859,144
P39,190,18,9,343,1062,872,854,153
P64,194,18,3,351,1064,870,852,157
P58,199,17,1,363,1065,866,849,164
P20,160,20,6,283,1067,907,887,123
